Natural Electric LLC,,,,
Clewiston Expense 2,,,,
All Dates,,,,

,Account,Date,Transaction type,Amount
Fuel,,,,
,Wages,01/10/2020,Payroll Check,$625.67
,Wages,01/10/2020,Payroll Check,"$1,215.50"
,Wages,01/10/2020,Payroll Check,$527.15
,Wages,01/24/2020,Payroll Check,"$2,307.50"
,Wages,01/24/2020,Payroll Check,"$1,352.00"
,Wages,01/24/2020,Payroll Check,"$1,004.47"
,Wages,01/24/2020,Payroll Check,$280.20
,Wages,02/06/2020,Payroll Check,$105.01
,Wages,02/07/2020,Payroll Check,$627.50
,Wages,02/07/2020,Payroll Check,$425.85
,Wages,02/07/2020,Payroll Check,$45.27
,Wages,02/07/2020,Payroll Check,$497.33
,Wages,02/07/2020,Payroll Check,$816.80
,Wages,02/07/2020,Payroll Check,"$2,187.50"
,Wages,02/07/2020,Payroll Check,$975.85
,Wages,02/21/2020,Payroll Check,$778.17
,Wages,02/21/2020,Payroll Check,"$1,502.53"
,Wages,02/21/2020,Payroll Check,"$1,102.97"
,Wages,02/21/2020,Payroll Check,"$1,490.41"
,Wages,02/21/2020,Payroll Check,$800.13
,Wages,02/21/2020,Payroll Check,$914.20
,Wages,02/21/2020,Payroll Check,"$2,852.50"
,Wages,03/06/2020,Payroll Check,"$1,240.00"
,Wages,03/06/2020,Payroll Check,"$1,139.58"
,Wages,03/06/2020,Payroll Check,$609.33
,Wages,03/06/2020,Payroll Check,$622.76
,Wages,03/06/2020,Payroll Check,$910.12
,Wages,03/06/2020,Payroll Check,"$2,173.00"
,Wages,03/06/2020,Payroll Check,$763.02
,Wages,04/03/2020,Payroll Check,$593.67
,Wages,04/03/2020,Payroll Check,"$1,074.97"
,Wages,04/03/2020,Payroll Check,"$1,344.27"
,Wages,04/03/2020,Payroll Check,$815.38
,Wages,04/03/2020,Payroll Check,"$1,834.00"
,Wages,04/17/2020,Payroll Check,$742.16
,Wages,04/17/2020,Payroll Check,"$1,637.50"
,Wages,04/17/2020,Payroll Check,"$1,274.40"
,Wages,04/17/2020,Payroll Check,$571.83
,Wages,05/15/2020,Payroll Check,$847.92
,Wages,05/15/2020,Payroll Check,"$2,964.00"
,Wages,05/15/2020,Payroll Check,"$1,926.00"
,Wages,05/15/2020,Payroll Check,$946.61
,Wages,05/29/2020,Payroll Check,"$1,034.33"
,Wages,05/29/2020,Payroll Check,$926.08
,Wages,05/29/2020,Payroll Check,"$1,968.80"
,Wages,05/29/2020,Payroll Check,"$3,668.00"
,Wages,06/01/2020,Payroll Check,$256.00
,Wages,06/12/2020,Payroll Check,"$1,337.60"
,Wages,06/12/2020,Payroll Check,$623.50
,Wages,06/12/2020,Payroll Check,"$1,842.50"
,Wages,06/12/2020,Payroll Check,$840.28
,Wages,07/10/2020,Payroll Check,"$2,209.00"
,Wages,07/10/2020,Payroll Check,$229.60
,Wages,07/10/2020,Payroll Check,$106.33
,Wages,07/10/2020,Payroll Check,"$1,841.40"
,Wages,07/24/2020,Payroll Check,$631.50
,Wages,07/24/2020,Payroll Check,"$1,514.57"
,Wages,07/24/2020,Payroll Check,"$2,033.00"
,Wages,07/24/2020,Payroll Check,"$1,747.65"
,Wages,07/24/2020,Payroll Check,$465.93
,Wages,07/24/2020,Payroll Check,"$1,004.03"
,Wages,07/24/2020,Payroll Check,$213.75
,Wages,07/24/2020,Payroll Check,$628.95
,Wages,07/24/2020,Payroll Check,$623.70
,Wages,08/07/2020,Payroll Check,$241.50
,Wages,08/21/2020,Payroll Check,$100.50
,Wages,09/18/2020,Payroll Check,$362.40
,Wages,10/16/2020,Payroll Check,$214.07
,Wages,12/24/2020,Payroll Check,$742.50
,Wages,12/24/2020,Payroll Check,$182.00
,Wages,01/08/2021,Payroll Check,$860.70
Total for Wages,,,,"$113,041.31"
Taxes,,,,
,Taxes,10/18/2019,Payroll Check,$200.40
,Taxes,10/18/2019,Payroll Check,$84.63
,Taxes,10/18/2019,Payroll Check,$120.24
